,date,state,actuals.newCases,actuals.newDeaths,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio
0,2020-03-01,AK,,,,,,,
1,2020-03-02,AK,,,,,,,
2,2020-03-03,AK,,,,,,,
3,2020-03-04,AK,,,,,,,
4,2020-03-05,AK,,,,,,,
5,2020-03-06,AK,,,,,,,
6,2020-03-07,AK,,,,,,,
7,2020-03-08,AK,,,,,,,
8,2020-03-09,AK,,,,,,,
9,2020-03-10,AK,,,,,,,
10,2020-03-11,AK,,,,,,,
11,2020-03-12,AK,,,,,,,
12,2020-03-13,AK,0.0,0.0,,,,,
13,2020-03-14,AK,0.0,0.0,,,,,
14,2020-03-15,AK,0.0,0.0,,,,,
15,2020-03-16,AK,2.0,0.0,,,,,
16,2020-03-17,AK,3.0,0.0,,,,,
17,2020-03-18,AK,3.0,0.0,,,,,
18,2020-03-19,AK,3.0,0.0,,,,,
19,2020-03-20,AK,2.0,0.0,,,,,
20,2020-03-21,AK,7.0,0.0,,,,,
21,2020-03-22,AK,1.0,0.0,,,,,
22,2020-03-23,AK,14.0,0.0,,,,,
23,2020-03-24,AK,6.0,0.0,,,,,
24,2020-03-25,AK,17.0,0.0,,,,,
25,2020-03-26,AK,10.0,0.0,,,,,
26,2020-03-27,AK,16.0,1.0,,,,,
27,2020-03-28,AK,17.0,0.0,,,,,
28,2020-03-29,AK,12.0,1.0,,,,,
29,2020-03-30,AK,6.0,0.0,,,,,
30,2020-03-31,AK,13.0,0.0,,,,,
31,2020-04-01,AK,10.0,0.0,,,,,
32,2020-04-02,AK,3.0,0.0,,,,,
33,2020-04-03,AK,10.0,0.0,,,,,
34,2020-04-04,AK,13.0,1.0,,,,,
35,2020-04-05,AK,14.0,1.0,,,,,
36,2020-04-06,AK,6.0,0.0,,,,,
37,2020-04-07,AK,22.0,0.0,,,,,
38,2020-04-08,AK,13.0,1.0,,,,,
39,2020-04-09,AK,9.0,0.0,,,,,
40,2020-04-10,AK,11.0,0.0,,,,,
41,2020-04-11,AK,11.0,1.0,,,,,
42,2020-04-12,AK,15.0,0.0,,,,,
43,2020-04-13,AK,5.0,0.0,,,,,
44,2020-04-14,AK,8.0,1.0,,,,,
45,2020-04-15,AK,8.0,0.0,,,,,
46,2020-04-16,AK,7.0,0.0,,,,,
47,2020-04-17,AK,9.0,0.0,,,,,
48,2020-04-18,AK,5.0,0.0,,,,,
49,2020-04-19,AK,5.0,0.0,,,,,
50,2020-04-20,AK,2.0,0.0,,,,,
51,2020-04-21,AK,8.0,0.0,,,,,
52,2020-04-22,AK,6.0,0.0,,,,,
53,2020-04-23,AK,2.0,0.0,,,,,
54,2020-04-24,AK,2.0,0.0,,,,,
55,2020-04-25,AK,0.0,0.0,,,,,
56,2020-04-26,AK,2.0,0.0,,,,,
57,2020-04-27,AK,4.0,0.0,,,,,
58,2020-04-28,AK,6.0,0.0,,,,,
59,2020-04-29,AK,4.0,0.0,,,,,
60,2020-04-30,AK,0.0,0.0,,,,,
61,2020-05-01,AK,9.0,0.0,,,,,
62,2020-05-02,AK,1.0,0.0,,,,,
63,2020-05-03,AK,3.0,0.0,,,,,
64,2020-05-04,AK,2.0,0.0,,,,,
65,2020-05-05,AK,1.0,0.0,,,,,
66,2020-05-06,AK,1.0,1.0,,,,,
67,2020-05-07,AK,3.0,0.0,,,,,
68,2020-05-08,AK,3.0,0.0,,,,,
69,2020-05-09,AK,1.0,0.0,,,,,
70,2020-05-10,AK,1.0,0.0,,,,,
71,2020-05-11,AK,2.0,0.0,,,,,
72,2020-05-12,AK,3.0,0.0,,,,,
73,2020-05-13,AK,0.0,0.0,,,,,
74,2020-05-14,AK,4.0,0.0,,,,,
75,2020-05-15,AK,1.0,0.0,,,,,
76,2020-05-16,AK,4.0,0.0,,,,,
77,2020-05-17,AK,4.0,0.0,,,,,
78,2020-05-18,AK,3.0,0.0,,,,,
79,2020-05-19,AK,0.0,0.0,,,,,
80,2020-05-20,AK,3.0,0.0,,,,,
81,2020-05-21,AK,0.0,0.0,,,,,
82,2020-05-22,AK,2.0,0.0,,,,,
83,2020-05-23,AK,5.0,0.0,,,,,
84,2020-05-24,AK,0.0,0.0,,,,,
85,2020-05-25,AK,3.0,0.0,,,,,
86,2020-05-26,AK,4.0,0.0,,,,,
87,2020-05-27,AK,1.0,0.0,,,,,
88,2020-05-28,AK,13.0,0.0,,,,,
89,2020-05-29,AK,6.0,0.0,,,,,
